,team,date,FOR_Set_Piece_Threat_RA20,FOR_Set_Piece_Threat_RA20_pct,FOR_Final_SP_Threat,FOR_Final_SP,FOR_Total_Shot_Threat_RA20,FOR_Shot_Threat_Cluster_0_RA20,FOR_Shot_Threat_Cluster_1_RA20,FOR_Shot_Threat_Cluster_2_RA20,FOR_Shot_Threat_Cluster_3_RA20,FOR_Shot_Threat_Cluster_4_RA20,FOR_Shot_Threat_Cluster_0_RA20_pct,FOR_Shot_Threat_Cluster_1_RA20_pct,FOR_Shot_Threat_Cluster_2_RA20_pct,FOR_Shot_Threat_Cluster_3_RA20_pct,FOR_Shot_Threat_Cluster_4_RA20_pct,AGAINST_Set_Piece_Threat_RA20,AGAINST_Set_Piece_Threat_RA20_pct,AGAINST_Final_SP_Threat,AGAINST_Final_SP,AGAINST_Total_Shot_Threat_RA20,AGAINST_Shot_Threat_Cluster_0_RA20,AGAINST_Shot_Threat_Cluster_1_RA20,AGAINST_Shot_Threat_Cluster_2_RA20,AGAINST_Shot_Threat_Cluster_3_RA20,AGAINST_Shot_Threat_Cluster_4_RA20,AGAINST_Shot_Threat_Cluster_0_RA20_pct,AGAINST_Shot_Threat_Cluster_1_RA20_pct,AGAINST_Shot_Threat_Cluster_2_RA20_pct,AGAINST_Shot_Threat_Cluster_3_RA20_pct,AGAINST_Shot_Threat_Cluster_4_RA20_pct
0,Arsenal,2014-08-23 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3205209970474243,1.0,0.6602604985237122,2.6410419940948486,0.3205209970474243,0.0,0.0,0.3205209970474243,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,Arsenal,2015-04-11 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18971319869160652,0.9169666871217307,0.5533399429066685,2.213359771626674,0.2068921383470296,0.0,0.02945270016789435,0.16026049852371216,0.0,0.017178939655423102,0.0,0.14235775415734742,0.7746089329643833,0.0,0.08303331287826937
2,Arsenal,2015-10-24 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12647546579440436,0.8844197447342529,0.5054476052643286,2.0217904210573145,0.14300389215350143,0.0,0.0196351334452629,0.10684033234914143,0.0,0.0165284263590971,0.0,0.1373048883465801,0.7471148563876726,0.0,0.11558025526574736
3,Arsenal,2016-02-07 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09485659934580326,0.7416305348880412,0.41824356711692223,1.672974268467689,0.12790276948362583,0.0,0.035376200452446924,0.08013024926185608,0.0,0.012396319769322825,0.0,0.27658666497425455,0.6264934651951722,0.0,0.0969198698305732
4,Arsenal,2016-03-19 16:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08700673952698706,0.7669598066022248,0.42698327306460593,1.7079330922584237,0.11344367563724514,0.0,0.039422420412302,0.06410419940948486,0.0,0.009917055815458261,0.0,0.34750655063717867,0.5650751269243832,0.0,0.08741832243843793
5,Arsenal,2016-11-27 18:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14063311430315176,0.8530722930048201,0.4968527036539859,1.9874108146159437,0.16485486101980004,0.0,0.032852017010251665,0.12154766420523326,0.0,0.010455179804315132,0.0,0.19927842471266857,0.7373010626033931,0.0,0.0634205126839384
6,Arsenal,2016-12-13 23:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12054266940270152,0.6203780986545914,0.37046038402864645,1.4818415361145858,0.19430516593690422,0.053000999348504205,0.028158871723072857,0.10418371217591423,0.0,0.00896158268941297,0.2727719517540515,0.1449208598613212,0.5361860127267295,0.0,0.04612117565789796
7,Arsenal,2017-01-22 17:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10547483572736382,0.49795177526278583,0.3017133054950748,1.2068532219802992,0.21181737061124287,0.04637587442994118,0.02463901275768875,0.13033342361450193,0.0,0.010469059809111026,0.21894273494243646,0.11632196493888948,0.6153103649544788,0.0,0.0494249351641954
8,Arsenal,2017-04-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0956439429687129,0.5029374810180335,0.2992907119933732,1.1971628479734928,0.19017064064327205,0.041222999493281044,0.021901344673501112,0.11774046553505789,0.0,0.009305830941432024,0.21676847358687937,0.11516680282202094,0.6191306141515245,0.0,0.04893410943957532
9,Arsenal,2017-05-16 19:45:00,0.0,0.0,0.0,0.0,0.134148498997092,0.0,0.0822340995073318,0.0,0.0,0.0519143994897602,0.0,0.6130079734184312,0.0,0.0,0.3869920265815689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
