Name,Full_Name,Fix_ID,GW,TeamName,minutes,goals_scored,total_points,saves,assists,yellow_cards,red_cards,bonus,bps,defensive_contribution,expected_goals,expected_assists,position,Started,Sub,photo,OpponentName,was_home,TeamCode,PlayerID,PlayerCode,kickoff_time,finished,team_h_score,team_a_score
Gabriel,Gabriel_dos Santos Magalhães,2645195,1,Arsenal,90.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,21.0,4.0,0.05,0.01,DEF,1,0,226597.jpg,Coventry City,True,3,4,226597,,True,,
Havertz,Kai_Havertz,2645195,1,Arsenal,90.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.26,0.03,FWD,1,0,219847.jpg,Coventry City,True,3,26,219847,,True,,
Lewis-Skelly,Myles_Lewis-Skelly,2645195,1,Arsenal,90.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,0.06,0.11,MID,1,0,499169.jpg,Coventry City,True,3,7,499169,,True,,
Mosquera,Cristhian_Mosquera,2645195,1,Arsenal,90.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,6.0,0.0,0.0,DEF,1,0,500040.jpg,Coventry City,True,3,11,500040,,True,,
Raya,David_Raya Martin,2645195,1,Arsenal,90.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,GKP,1,0,154561.jpg,Coventry City,True,3,1,154561,,True,,
White,Benjamin_White,2645195,1,Arsenal,90.0,0.0,11.0,0.0,1.0,0.0,0.0,2.0,37.0,5.0,0.18,0.21,DEF,1,0,198869.jpg,Coventry City,True,3,10,198869,,True,,
Calafiori,Riccardo_Calafiori,2645195,1,Arsenal,80.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,31.0,5.0,0.04,0.09,DEF,1,0,466075.jpg,Coventry City,True,3,8,466075,,True,,
Tzolis,Christos_Tzolis,2645195,1,Arsenal,75.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,30.0,6.0,0.19,0.14,MID,1,0,439509.jpg,Coventry City,True,3,557,439509,,True,,
Ødegaard,Martin_Ødegaard,2645195,1,Arsenal,75.0,1.0,11.0,0.0,0.0,0.0,0.0,3.0,41.0,8.0,0.21,0.1,MID,1,0,184029.jpg,Coventry City,True,3,15,184029,,True,,
Rice,Declan_Rice,2645195,1,Arsenal,67.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.07,0.08,MID,1,0,204480.jpg,Coventry City,True,3,13,204480,,True,,
Saka,Bukayo_Saka,2645195,1,Arsenal,67.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,36.0,7.0,0.64,0.08,MID,1,0,223340.jpg,Coventry City,True,3,12,223340,,True,,
Madueke,Noni_Madueke,2645195,1,Arsenal,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.04,MID,0,1,248857.jpg,Coventry City,True,3,16,248857,,True,,
Zubimendi,Martín_Zubimendi Ibáñez,2645195,1,Arsenal,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.02,MID,0,1,481655.jpg,Coventry City,True,3,19,481655,,True,,
Eze,Eberechi_Eze,2645195,1,Arsenal,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.04,0.0,MID,0,1,232413.jpg,Coventry City,True,3,14,232413,,True,,
Merino,Mikel_Merino Zazón,2645195,1,Arsenal,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.14,0.02,MID,0,1,195384.jpg,Coventry City,True,3,17,195384,,True,,
Hincapie,Piero_Hincapié,2645195,1,Arsenal,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,DEF,0,1,448104.jpg,Coventry City,True,3,9,448104,,True,,
Arrizabalaga,Kepa_Arrizabalaga,2645195,1,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GKP,0,0,109745.jpg,Coventry City,True,3,2,109745,,True,,
Bruno G.,Bruno_Guimarães Rodriguez Moura,2645195,1,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MID,0,0,208706.jpg,Coventry City,True,3,452,208706,,True,,
Dowman,Max_Dowman,2645195,1,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MID,0,0,616077.jpg,Coventry City,True,3,20,616077,,True,,
Fábio Vieira,Fábio_Ferreira Vieira,2645195,1,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MID,0,0,438098.jpg,Coventry City,True,3,23,438098,,True,,
G.Jesus,Gabriel_Fernando de Jesus,2645195,1,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FWD,0,0,205651.jpg,Coventry City,True,3,27,205651,,True,,
Gyökeres,Viktor_Gyökeres,2645195,1,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FWD,0,0,224117.jpg,Coventry City,True,3,25,224117,,True,,
